time,Close,y_true,y_pred,y_pred_proba_0,y_pred_proba_1,y_pred_proba_2,window
2024-07-05 20:00:00,2385.83,0,0,0.86953646,0.111972876,0.018490596,1
2024-07-05 21:00:00,2391.02,0,0,0.82713413,0.07117469,0.101691164,1
2024-07-05 22:00:00,2388.74,0,0,0.8647577,0.09533697,0.039905332,1
2024-07-05 23:00:00,2391.22,0,0,0.94304705,0.026564054,0.030388897,1
2024-07-08 01:00:00,2385.33,0,1,0.32621983,0.5373614,0.13641885,1
2024-07-08 02:00:00,2386.06,0,1,0.32818377,0.57013077,0.101685464,1
2024-07-08 03:00:00,2386.66,0,1,0.34435257,0.56632614,0.089321285,1
2024-07-08 04:00:00,2386.48,0,1,0.3855858,0.50811464,0.10629955,1
2024-07-08 05:00:00,2382.95,0,1,0.27111453,0.55105203,0.17783341,1
2024-07-08 06:00:00,2382.96,0,1,0.28857175,0.52304715,0.18838108,1
2024-07-08 07:00:00,2384.96,0,1,0.29123706,0.5212921,0.18747085,1
2024-07-08 08:00:00,2382.82,0,1,0.29133886,0.51254284,0.19611834,1
2024-07-08 09:00:00,2376.89,0,1,0.2706729,0.40062124,0.3287059,1
2024-07-08 10:00:00,2377.88,0,1,0.3047915,0.3755167,0.31969175,1
2024-07-08 11:00:00,2372.81,0,1,0.3443071,0.42998323,0.2257097,1
2024-07-08 12:00:00,2370.24,0,0,0.45559874,0.21664087,0.3277603,1
2024-07-08 13:00:00,2374.13,0,0,0.4160005,0.20519531,0.3788042,1
2024-07-08 14:00:00,2375.38,0,2,0.35124695,0.26474142,0.3840116,1
2024-07-08 15:00:00,2372.74,0,0,0.39832398,0.24370456,0.35797146,1
2024-07-08 16:00:00,2375.54,0,2,0.33423817,0.23423265,0.4315292,1
2024-07-08 17:00:00,2373.25,0,2,0.32350525,0.22619228,0.45030242,1
2024-07-08 18:00:00,2355.51,1,2,0.015542698,0.4201776,0.5642797,1
2024-07-08 19:00:00,2358.67,1,2,0.020376643,0.45051748,0.5291059,1
2024-07-08 20:00:00,2357.25,1,2,0.01749377,0.41532612,0.5671801,1
2024-07-08 21:00:00,2356.61,1,2,0.018215435,0.4162191,0.5655655,1
2024-07-08 22:00:00,2359.22,1,2,0.019108843,0.38789275,0.5929984,1
2024-07-08 23:00:00,2359.04,1,2,0.015916664,0.38425046,0.5998329,1
2024-07-09 01:00:00,2359.79,1,2,0.023560842,0.4247869,0.55165225,1
2024-07-09 02:00:00,2361.76,0,2,0.309889,0.27134648,0.41876453,1
2024-07-09 03:00:00,2361.86,0,2,0.27082562,0.24302305,0.48615137,1
2024-07-09 04:00:00,2363.45,0,2,0.22809361,0.16467212,0.6072343,1
2024-07-09 05:00:00,2364.02,0,2,0.24562752,0.13591233,0.6184602,1
2024-07-09 06:00:00,2367.69,0,2,0.1706613,0.059416912,0.7699218,1
2024-07-09 07:00:00,2367.38,0,2,0.1543851,0.07637569,0.7692392,1
2024-07-09 08:00:00,2364.54,0,2,0.21106587,0.10444724,0.6844869,1
2024-07-09 09:00:00,2364.15,0,2,0.20842238,0.11163443,0.67994326,1
2024-07-09 10:00:00,2359.02,1,2,0.006588335,0.32304016,0.67037153,1
2024-07-09 11:00:00,2361.65,0,2,0.07378354,0.17591517,0.7503013,1
2024-07-09 12:00:00,2364.29,0,2,0.19520672,0.12833524,0.676458,1
2024-07-09 13:00:00,2363.09,0,2,0.14454907,0.12573451,0.72971636,1
2024-07-09 14:00:00,2360.61,1,2,0.0052537937,0.1808823,0.81386393,1
2024-07-09 15:00:00,2360.17,1,2,0.0059012403,0.21387848,0.7802202,1
2024-07-09 16:00:00,2367.73,0,2,0.13492098,0.10530214,0.75977683,1
2024-07-09 17:00:00,2354.91,2,2,0.0058874874,0.43252644,0.5615861,1
2024-07-09 18:00:00,2362.11,2,2,0.14290681,0.1416576,0.71543556,1
2024-07-09 19:00:00,2357.52,2,2,0.006253098,0.48243847,0.5113084,1
2024-07-09 20:00:00,2361.88,2,2,0.15754537,0.27196825,0.57048637,1
2024-07-09 21:00:00,2364.59,2,2,0.18932693,0.24463767,0.56603545,1
2024-07-09 22:00:00,2363.58,2,2,0.16833122,0.24975738,0.5819114,1
2024-07-09 23:00:00,2363.87,2,2,0.18941942,0.23309363,0.577487,1
2024-07-10 01:00:00,2364.4,2,2,0.18585649,0.31367353,0.50047,1
2024-07-10 02:00:00,2365.01,2,2,0.17133054,0.31079167,0.5178778,1
2024-07-10 03:00:00,2364.66,2,2,0.20254466,0.33857784,0.45887753,1
2024-07-10 04:00:00,2368.2,2,2,0.22572087,0.25171927,0.5225599,1
2024-07-10 05:00:00,2369.32,1,2,0.21762837,0.2070109,0.5753607,1
2024-07-10 06:00:00,2368.17,2,2,0.19734658,0.32189384,0.4807596,1
2024-07-10 07:00:00,2367.72,2,2,0.19140664,0.2550193,0.553574,1
2024-07-10 08:00:00,2368.4,2,2,0.22663009,0.2533094,0.5200605,1
2024-07-10 09:00:00,2371.96,1,2,0.2178177,0.19114931,0.591033,1
2024-07-10 10:00:00,2372.69,1,2,0.21020329,0.19294578,0.596851,1
2024-07-10 11:00:00,2372.85,1,2,0.2048222,0.18515933,0.6100185,1
2024-07-10 12:00:00,2371.93,1,2,0.21404877,0.17745252,0.60849875,1
2024-07-10 13:00:00,2372.52,1,2,0.20872231,0.17887321,0.6124045,1
2024-07-10 14:00:00,2378.33,1,2,0.2515403,0.192414,0.55604565,1
2024-07-10 15:00:00,2377.81,1,2,0.2482678,0.19420575,0.55752647,1
