time,Close,y_true,y_pred,y_pred_proba_0,y_pred_proba_1,y_pred_proba_2,window
2025-07-02 18:40:00,3341.31,2,0,0.49640036,0.2182517,0.2853479,1
2025-07-02 18:45:00,3341.8,2,0,0.4763458,0.2268328,0.29682136,1
2025-07-02 18:50:00,3340.55,2,0,0.469922,0.2692783,0.26079968,1
2025-07-02 18:55:00,3341.03,2,0,0.48111358,0.25206852,0.26681787,1
2025-07-02 19:00:00,3344.18,2,0,0.39309293,0.36640373,0.24050331,1
2025-07-02 19:05:00,3346.69,1,0,0.42236498,0.3507103,0.2269247,1
2025-07-02 19:10:00,3346.17,1,1,0.34729308,0.37441185,0.27829507,1
2025-07-02 19:15:00,3347.09,1,0,0.4643226,0.32754084,0.20813657,1
2025-07-02 19:20:00,3346.69,1,1,0.385146,0.39290377,0.22195022,1
2025-07-02 19:25:00,3345.89,2,0,0.4163398,0.3332546,0.2504056,1
2025-07-02 19:30:00,3345.49,2,0,0.4069727,0.33757946,0.25544775,1
2025-07-02 19:35:00,3347.12,1,0,0.41418573,0.3365794,0.24923487,1
2025-07-02 19:40:00,3347.37,1,0,0.40904072,0.36254215,0.22841713,1
2025-07-02 19:45:00,3348.14,2,0,0.44585785,0.33234233,0.22179979,1
2025-07-02 19:50:00,3347.62,2,1,0.37564972,0.39470744,0.22964282,1
2025-07-02 19:55:00,3348.69,2,0,0.43218586,0.34866112,0.21915302,1
2025-07-02 20:00:00,3349.7,1,0,0.5047179,0.27789393,0.21738818,1
2025-07-02 20:05:00,3349.14,2,0,0.49002475,0.29850063,0.21147463,1
2025-07-02 20:10:00,3348.34,2,0,0.4172729,0.35926303,0.22346406,1
2025-07-02 20:15:00,3349.2,2,1,0.32344806,0.39161748,0.28493446,1
2025-07-02 20:20:00,3348.87,2,1,0.36101437,0.39144227,0.24754332,1
2025-07-02 20:25:00,3348.82,2,0,0.37594986,0.36043462,0.2636155,1
2025-07-02 20:30:00,3347.98,2,0,0.5192918,0.2390611,0.24164706,1
2025-07-02 20:35:00,3348.52,2,0,0.52899414,0.21187583,0.25913006,1
2025-07-02 20:40:00,3348.3,2,0,0.6962908,0.14755738,0.15615185,1
2025-07-02 20:45:00,3348.81,2,0,0.7037056,0.15413532,0.14215903,1
2025-07-02 20:50:00,3349.33,2,0,0.65903103,0.15867013,0.18229885,1
