time,Close,y_true,y_pred,y_pred_proba_0,y_pred_proba_1,y_pred_proba_2,window
2025-07-02 20:20:00,3348.87,2,2,0.23400949,0.33851194,0.42747855,1
2025-07-02 20:25:00,3348.82,2,2,0.19704774,0.3359683,0.46698394,1
2025-07-02 20:30:00,3347.98,2,2,0.22175975,0.32507855,0.45316166,1
2025-07-02 20:35:00,3348.52,2,2,0.2215993,0.3387041,0.43969664,1
2025-07-02 20:40:00,3348.3,2,2,0.22781308,0.34438497,0.42780194,1
2025-07-02 20:45:00,3348.81,2,2,0.26803252,0.32462272,0.40734476,1
2025-07-02 20:50:00,3349.33,2,2,0.32399505,0.29130527,0.3846997,1
2025-07-02 20:55:00,3349.64,2,0,0.36947978,0.30434552,0.3261747,1
2025-07-02 21:00:00,3349.59,2,2,0.35024258,0.29113764,0.35861975,1
2025-07-02 21:05:00,3349.99,2,0,0.37423253,0.32651517,0.2992523,1
2025-07-02 21:10:00,3351.55,2,0,0.54506,0.28561303,0.16932698,1
2025-07-02 21:15:00,3352.03,2,0,0.66579854,0.21989635,0.11430515,1
2025-07-02 21:20:00,3352.21,2,0,0.6439445,0.23483835,0.121217184,1
2025-07-02 21:25:00,3352.1,2,0,0.65255237,0.23220283,0.11524485,1
2025-07-02 21:30:00,3352.3,2,0,0.65545094,0.23076071,0.113788374,1
2025-07-02 21:35:00,3351.77,2,0,0.6442279,0.24627052,0.10950158,1
2025-07-02 21:40:00,3351.76,2,0,0.6659269,0.23386766,0.10020545,1
2025-07-02 21:45:00,3352.82,2,0,0.7009425,0.20548432,0.093573175,1
2025-07-02 21:50:00,3352.08,2,0,0.68970305,0.21516101,0.09513598,1
2025-07-02 21:55:00,3354.94,2,0,0.75391704,0.22367753,0.022405464,1
2025-07-02 22:00:00,3356.26,2,0,0.7614061,0.22036642,0.018227413,1
2025-07-02 22:05:00,3356.45,2,0,0.7713074,0.21156552,0.017127037,1
2025-07-02 22:10:00,3356.13,2,0,0.76874185,0.21430746,0.016950654,1
2025-07-02 22:15:00,3355.99,2,0,0.7711923,0.21153311,0.017274505,1
2025-07-02 22:20:00,3355.08,2,0,0.77069914,0.21092561,0.018375183,1
2025-07-02 22:25:00,3356.11,1,0,0.7690398,0.21275891,0.018201279,1
2025-07-02 22:30:00,3356.14,1,0,0.76728094,0.2122723,0.020446798,1
2025-07-02 22:35:00,3356.21,1,0,0.7717251,0.20804223,0.02023266,1
2025-07-02 22:40:00,3356.72,1,0,0.7646574,0.21412992,0.021212645,1
